word,total,astronomical,biological,cosmological,herbal,text only,unknown
v,12,0,0,12,0,0,0
olain,12,0,3,0,0,5,4
ykal,11,0,1,1,4,5,0
shod,11,0,0,0,4,2,5
teody,11,1,0,0,0,3,7
shckhey,11,0,5,0,1,1,4
chkar,11,0,1,1,4,0,5
okary,11,0,1,1,3,1,5
choldy,11,0,0,0,5,1,5
aram,11,1,0,3,2,1,4
chory,11,0,0,0,9,0,2
od,11,0,0,1,6,0,4
sheod,11,0,0,0,4,1,6
ram,11,0,3,0,1,0,7
qotchor,11,0,0,0,11,0,0
okshy,11,0,1,2,7,0,1
eee,11,1,0,1,4,0,5
ycheol,11,0,1,0,3,0,7
ey,11,1,2,1,3,0,4
ykain,11,0,3,0,4,2,2
dshey,11,0,2,0,6,1,2
pchedar,11,0,4,1,4,0,2
checkhey,11,0,1,0,2,1,7
okeos,11,1,0,2,2,0,6
ycheo,11,1,0,0,1,0,9
